feature,model_importance
num__latest_membership_expire_date,0.16420528545015628
num__total_amount_paid,0.15315174515414307
num__cancel_count,0.06980620908140094
cat__latest_payment_method_id_41.0,0.059490238611660244
num__renewal_count,0.04823323176002258
cat__registered_via_7.0,0.04398561034683327
num__registration_init_time,0.04108257986813152
num__transaction_count,0.03521556056514202
num__avg_plan_days,0.027031440480573807
num__num_active_days,0.026679243140335693
num__total_num_unq,0.026144127225862093
num__total_secs,0.025881770717661595
num__total_num_songs,0.02504184711283737
cat__latest_is_auto_renew_1.0,0.023619241984272545
num__avg_num_unq,0.02285430087366229
num__avg_total_secs,0.022764497441962066
num__avg_num_songs,0.022442695435315806
num__bd,0.021680602372438743
cat__latest_is_auto_renew_0.0,0.020184460672152963
cat__latest_payment_method_id_39.0,0.010756157549342232
cat__latest_payment_method_id_40.0,0.009939168315180321
cat__registered_via_9.0,0.009548288786093767
cat__registered_via_4.0,0.009116495552130857
cat__city_1.0,0.007598297111796103
cat__gender_None,0.007118066203821227
cat__registered_via_3.0,0.006763426258993621
cat__latest_payment_method_id_37.0,0.006485363357022708
cat__latest_payment_method_id_36.0,0.0052512970589670355
cat__latest_payment_method_id_32.0,0.005214092253237663
cat__latest_payment_method_id_34.0,0.004006586768692632
cat__latest_payment_method_id_38.0,0.003716289477242225
cat__gender_male,0.00367403832280148
cat__gender_female,0.0035320937294072868
cat__city_13.0,0.0026920308618846142
cat__city_5.0,0.002365113575070296
cat__latest_payment_method_id_30.0,0.002132938091197497
cat__city_4.0,0.0018474179613053021
cat__latest_payment_method_id_29.0,0.0017446680286460053
cat__city_15.0,0.0017208803720298118
cat__latest_payment_method_id_33.0,0.0016522970597195898
cat__city_22.0,0.0016325630372692464
cat__city_6.0,0.0012278140914566567
cat__latest_payment_method_id_31.0,0.0011185016769885477
cat__city_14.0,0.0010505856864783457
cat__city_12.0,0.0008090610238170139
cat__latest_payment_method_id_15.0,0.0007070154988064497
cat__city_8.0,0.0006486321713079512
cat__city_9.0,0.0005754324587582888
cat__city_11.0,0.0005749043918908427
cat__city_18.0,0.0005727495021791768
cat__city_10.0,0.0005503869819615146
cat__latest_payment_method_id_17.0,0.0005196718025006785
cat__city_21.0,0.0004727484948408045
cat__city_3.0,0.00040822727050499264
cat__city_17.0,0.0003825641620247344
cat__city_7.0,0.0003101948346207187
cat__latest_payment_method_id_28.0,0.00025571084761107787
cat__latest_payment_method_id_20.0,0.0002465021974887827
cat__registered_via_13.0,0.0002233929893460191
cat__latest_payment_method_id_21.0,0.0002180547568963459
cat__latest_payment_method_id_19.0,0.0002127416921737393
cat__latest_payment_method_id_23.0,0.00020831621940367126
cat__latest_payment_method_id_27.0,0.00015015829953531846
cat__city_16.0,9.243742557005395e-05
cat__latest_payment_method_id_16.0,9.019644501699964e-05
cat__city_20.0,6.668152257108171e-05
cat__latest_payment_method_id_22.0,6.667047687083626e-05
cat__latest_payment_method_id_18.0,5.519344898246104e-05
cat__latest_payment_method_id_35.0,5.2981976394693375e-05
cat__latest_payment_method_id_11.0,3.482532378368119e-05
cat__latest_payment_method_id_26.0,2.7273372137764416e-05
cat__city_19.0,2.301573332669635e-05
cat__latest_payment_method_id_14.0,2.282220808327312e-05
cat__latest_payment_method_id_13.0,1.2332433003985306e-05
cat__latest_payment_method_id_12.0,9.421349223587382e-06
cat__latest_payment_method_id_10.0,4.944387900656419e-07
cat__latest_payment_method_id_6.0,2.822188980944226e-08
cat__latest_payment_method_id_3.0,5.472133848485209e-10
cat__latest_payment_method_id_8.0,1.3343603732080755e-13
